CASING_ID,READING_DTTM,Water_Level_Elevation_meter_above_sea_level,Confid_Level
W0000031-1,2021-04-29 17:00,290.8311,8
W0000031-1,2021-04-29 18:00,290.8335,8
W0000031-1,2021-04-29 19:00,290.8366,8
W0000031-1,2021-04-29 20:00,290.8304,8
W0000031-1,2021-04-29 21:00,290.8411,8
W0000031-1,2021-04-29 22:00,290.836,8
W0000031-1,2021-04-29 23:00,290.8354,8
W0000031-1,2021-04-30 0:00,290.8331,8
W0000031-1,2021-04-30 1:00,290.834,8
W0000031-1,2021-04-30 2:00,290.8326,8
W0000031-1,2021-04-30 3:00,290.8374,8
W0000031-1,2021-04-30 4:00,290.8354,8
W0000031-1,2021-04-30 5:00,290.8386,8
W0000031-1,2021-04-30 6:00,290.8355,8
W0000031-1,2021-04-30 7:00,290.8389,8
W0000031-1,2021-04-30 8:00,290.8376,8
W0000031-1,2021-04-30 9:00,290.8403,8
W0000031-1,2021-04-30 10:00,290.8372,8
W0000031-1,2021-04-30 11:00,290.8411,8
W0000031-1,2021-04-30 12:00,290.8441,8
W0000031-1,2021-04-30 13:00,290.8402,8
W0000031-1,2021-04-30 14:00,290.8398,8
W0000031-1,2021-04-30 15:00,290.8378,8
W0000031-1,2021-04-30 16:00,290.8349,8
W0000031-1,2021-04-30 17:00,290.8358,8
W0000031-1,2021-04-30 18:00,290.8346,8
W0000031-1,2021-04-30 19:00,290.8384,8
W0000031-1,2021-04-30 20:00,290.8345,8
W0000031-1,2021-04-30 21:00,290.8351,8
W0000031-1,2021-04-30 22:00,290.8311,8
W0000031-1,2021-04-30 23:00,290.8304,8
W0000031-1,2021-05-01 0:00,290.8318,8
W0000031-1,2021-05-01 1:00,290.8304,8
W0000031-1,2021-05-01 2:00,290.8308,8
W0000031-1,2021-05-01 3:00,290.8314,8
W0000031-1,2021-05-01 4:00,290.8306,8
W0000031-1,2021-05-01 5:00,290.8269,8
W0000031-1,2021-05-01 6:00,290.8265,8
W0000031-1,2021-05-01 7:00,290.822,8
W0000031-1,2021-05-01 8:00,290.8211,8
W0000031-1,2021-05-01 9:00,290.8196,8
W0000031-1,2021-05-01 10:00,290.8187,8
W0000031-1,2021-05-01 11:00,290.8159,8
W0000031-1,2021-05-01 12:00,290.8099,8
W0000031-1,2021-05-01 13:00,290.8105,8
W0000031-1,2021-05-01 14:00,290.8146,8
W0000031-1,2021-05-01 15:00,290.8153,8
W0000031-1,2021-05-01 16:00,290.8244,8
W0000031-1,2021-05-01 17:00,290.8218,8
W0000031-1,2021-05-01 18:00,290.8124,8
W0000031-1,2021-05-01 19:00,290.8365,8
W0000031-1,2021-05-01 20:00,290.8266,8
W0000031-1,2021-05-01 21:00,290.8302,8
W0000031-1,2021-05-01 22:00,290.8282,8
W0000031-1,2021-05-01 23:00,290.8303,8
W0000031-1,2021-05-02 0:00,290.8299,8
W0000031-1,2021-05-02 1:00,290.8316,8
W0000031-1,2021-05-02 2:00,290.8278,8
W0000031-1,2021-05-02 3:00,290.8321,8
W0000031-1,2021-05-02 4:00,290.8351,8
W0000031-1,2021-05-02 5:00,290.8371,8
W0000031-1,2021-05-02 6:00,290.8471,8
W0000031-1,2021-05-02 7:00,290.8345,8
W0000031-1,2021-05-02 8:00,290.8294,8
W0000031-1,2021-05-02 9:00,290.8361,8
W0000031-1,2021-05-02 10:00,290.8291,8
W0000031-1,2021-05-02 11:00,290.8288,8
W0000031-1,2021-05-02 12:00,290.8279,8
W0000031-1,2021-05-02 13:00,290.825,8
W0000031-1,2021-05-02 14:00,290.8241,8
W0000031-1,2021-05-02 15:00,290.8261,8
W0000031-1,2021-05-02 16:00,290.8233,8
W0000031-1,2021-05-02 17:00,290.8267,8
W0000031-1,2021-05-02 18:00,290.8222,8
W0000031-1,2021-05-02 19:00,290.8224,8
W0000031-1,2021-05-02 20:00,290.8258,8
W0000031-1,2021-05-02 21:00,290.826,8
W0000031-1,2021-05-02 22:00,290.8223,8
W0000031-1,2021-05-02 23:00,290.82,8
W0000031-1,2021-05-03 0:00,290.8246,8
W0000031-1,2021-05-03 1:00,290.8173,8
W0000031-1,2021-05-03 2:00,290.8159,8
W0000031-1,2021-05-03 3:00,290.82,8
W0000031-1,2021-05-03 4:00,290.8192,8
W0000031-1,2021-05-03 5:00,290.8181,8
W0000031-1,2021-05-03 6:00,290.8214,8
W0000031-1,2021-05-03 7:00,290.822,8
W0000031-1,2021-05-03 8:00,290.8191,8
W0000031-1,2021-05-03 9:00,290.8167,8
W0000031-1,2021-05-03 10:00,290.8195,8
W0000031-1,2021-05-03 11:00,290.8188,8
W0000031-1,2021-05-03 12:00,290.8169,8
W0000031-1,2021-05-03 13:00,290.8118,8
W0000031-1,2021-05-03 14:00,290.8143,8
W0000031-1,2021-05-03 15:00,290.814,8
W0000031-1,2021-05-03 16:00,290.8175,8
W0000031-1,2021-05-03 17:00,290.8199,8
W0000031-1,2021-05-03 18:00,290.8222,8
W0000031-1,2021-05-03 19:00,290.8222,8
W0000031-1,2021-05-03 20:00,290.8194,8
W0000031-1,2021-05-03 21:00,290.8237,8
W0000031-1,2021-05-03 22:00,290.8172,8
W0000031-1,2021-05-03 23:00,290.8162,8
W0000031-1,2021-05-04 0:00,290.8159,8
W0000031-1,2021-05-04 1:00,290.8177,8
W0000031-1,2021-05-04 2:00,290.8172,8
W0000031-1,2021-05-04 3:00,290.8213,8
W0000031-1,2021-05-04 4:00,290.8134,8
W0000031-1,2021-05-04 5:00,290.8281,8
W0000031-1,2021-05-04 6:00,290.8232,8
W0000031-1,2021-05-04 7:00,290.8175,8
W0000031-1,2021-05-04 8:00,290.8158,8
W0000031-1,2021-05-04 9:00,290.8122,8
W0000031-1,2021-05-04 10:00,290.8111,8
W0000031-1,2021-05-04 11:00,290.8196,8
W0000031-1,2021-05-04 12:00,290.8168,8
W0000031-1,2021-05-04 13:00,290.814,8
W0000031-1,2021-05-04 14:00,290.8189,8
W0000031-1,2021-05-04 15:00,290.8151,8
W0000031-1,2021-05-04 16:00,290.8216,8
W0000031-1,2021-05-04 17:00,290.8091,8
W0000031-1,2021-05-04 18:00,290.8238,8
W0000031-1,2021-05-04 19:00,290.8318,8
W0000031-1,2021-05-04 20:00,290.8207,8
W0000031-1,2021-05-04 21:00,290.8239,8
W0000031-1,2021-05-04 22:00,290.8236,8
W0000031-1,2021-05-04 23:00,290.8215,8
W0000031-1,2021-05-05 0:00,290.8227,8
W0000031-1,2021-05-05 1:00,290.8211,8
W0000031-1,2021-05-05 2:00,290.8231,8
W0000031-1,2021-05-05 3:00,290.8159,8
W0000031-1,2021-05-05 4:00,290.82,8
W0000031-1,2021-05-05 5:00,290.8193,8
W0000031-1,2021-05-05 6:00,290.8209,8
W0000031-1,2021-05-05 7:00,290.818,8
W0000031-1,2021-05-05 8:00,290.8198,8
W0000031-1,2021-05-05 9:00,290.8162,8
W0000031-1,2021-05-05 10:00,290.8182,8
W0000031-1,2021-05-05 11:00,290.8159,8
W0000031-1,2021-05-05 12:00,290.8155,8
W0000031-1,2021-05-05 13:00,290.8156,8
W0000031-1,2021-05-05 14:00,290.818,8
W0000031-1,2021-05-05 15:00,290.8192,8
W0000031-1,2021-05-05 16:00,290.8198,8
W0000031-1,2021-05-05 17:00,290.8187,8
W0000031-1,2021-05-05 18:00,290.8195,8
W0000031-1,2021-05-05 19:00,290.8184,8
W0000031-1,2021-05-05 20:00,290.8169,8
W0000031-1,2021-05-05 21:00,290.8172,8
W0000031-1,2021-05-05 22:00,290.8119,8
W0000031-1,2021-05-05 23:00,290.808,8
W0000031-1,2021-05-06 0:00,290.8099,8
W0000031-1,2021-05-06 1:00,290.8079,8
W0000031-1,2021-05-06 2:00,290.807,8
W0000031-1,2021-05-06 3:00,290.8092,8
W0000031-1,2021-05-06 4:00,290.8089,8
W0000031-1,2021-05-06 5:00,290.8076,8
W0000031-1,2021-05-06 6:00,290.8086,8
W0000031-1,2021-05-06 7:00,290.8109,8
W0000031-1,2021-05-06 8:00,290.8082,8
W0000031-1,2021-05-06 9:00,290.8054,8
W0000031-1,2021-05-06 10:00,290.8053,8
W0000031-1,2021-05-06 11:00,290.8031,8
W0000031-1,2021-05-06 12:00,290.8035,8
W0000031-1,2021-05-06 13:00,290.8022,8
W0000031-1,2021-05-06 14:00,290.8033,8
W0000031-1,2021-05-06 15:00,290.803,8
W0000031-1,2021-05-06 16:00,290.8056,8
W0000031-1,2021-05-06 17:00,290.8107,8
W0000031-1,2021-05-06 18:00,290.8107,8
W0000031-1,2021-05-06 19:00,290.8119,8
W0000031-1,2021-05-06 20:00,290.8074,8
W0000031-1,2021-05-06 21:00,290.8093,8
W0000031-1,2021-05-06 22:00,290.8037,8
W0000031-1,2021-05-06 23:00,290.802,8
W0000031-1,2021-05-07 0:00,290.8005,8
W0000031-1,2021-05-07 1:00,290.8006,8
W0000031-1,2021-05-07 2:00,290.8015,8
W0000031-1,2021-05-07 3:00,290.8036,8
W0000031-1,2021-05-07 4:00,290.8036,8
W0000031-1,2021-05-07 5:00,290.8041,8
W0000031-1,2021-05-07 6:00,290.8057,8
W0000031-1,2021-05-07 7:00,290.8067,8
W0000031-1,2021-05-07 8:00,290.804,8
W0000031-1,2021-05-07 9:00,290.8033,8
W0000031-1,2021-05-07 10:00,290.8014,8
W0000031-1,2021-05-07 11:00,290.7995,8
W0000031-1,2021-05-07 12:00,290.7948,8
W0000031-1,2021-05-07 13:00,290.7959,8
W0000031-1,2021-05-07 14:00,290.7986,8
W0000031-1,2021-05-07 15:00,290.7989,8
W0000031-1,2021-05-07 16:00,290.7996,8
W0000031-1,2021-05-07 17:00,290.8,8
W0000031-1,2021-05-07 18:00,290.8,8
W0000031-1,2021-05-07 19:00,290.7997,8
W0000031-1,2021-05-07 20:00,290.7982,8
W0000031-1,2021-05-07 21:00,290.8041,8
W0000031-1,2021-05-07 22:00,290.8015,8
W0000031-1,2021-05-07 23:00,290.7985,8
W0000031-1,2021-05-08 0:00,290.7993,8
W0000031-1,2021-05-08 1:00,290.7995,8
W0000031-1,2021-05-08 2:00,290.7993,8
W0000031-1,2021-05-08 3:00,290.8014,8
W0000031-1,2021-05-08 4:00,290.8022,8
W0000031-1,2021-05-08 5:00,290.8039,8
W0000031-1,2021-05-08 6:00,290.8059,8
W0000031-1,2021-05-08 7:00,290.8033,8
W0000031-1,2021-05-08 8:00,290.8,8
W0000031-1,2021-05-08 9:00,290.7993,8
W0000031-1,2021-05-08 10:00,290.7991,8
W0000031-1,2021-05-08 11:00,290.7967,8
W0000031-1,2021-05-08 12:00,290.7989,8
W0000031-1,2021-05-08 13:00,290.7958,8
W0000031-1,2021-05-08 14:00,290.8005,8
W0000031-1,2021-05-08 15:00,290.7999,8
W0000031-1,2021-05-08 16:00,290.8086,8
W0000031-1,2021-05-08 17:00,290.7994,8
W0000031-1,2021-05-08 18:00,290.8014,8
W0000031-1,2021-05-08 19:00,290.7989,8
W0000031-1,2021-05-08 20:00,290.8039,8
W0000031-1,2021-05-08 21:00,290.8027,8
W0000031-1,2021-05-08 22:00,290.8007,8
W0000031-1,2021-05-08 23:00,290.8019,8
W0000031-1,2021-05-09 0:00,290.8004,8
W0000031-1,2021-05-09 1:00,290.8001,8
W0000031-1,2021-05-09 2:00,290.8023,8
W0000031-1,2021-05-09 3:00,290.8023,8
W0000031-1,2021-05-09 4:00,290.8035,8
W0000031-1,2021-05-09 5:00,290.8041,8
W0000031-1,2021-05-09 6:00,290.8015,8
W0000031-1,2021-05-09 7:00,290.8019,8
W0000031-1,2021-05-09 8:00,290.8007,8
W0000031-1,2021-05-09 9:00,290.8016,8
W0000031-1,2021-05-09 10:00,290.7994,8
W0000031-1,2021-05-09 11:00,290.8003,8
W0000031-1,2021-05-09 12:00,290.7995,8
W0000031-1,2021-05-09 13:00,290.7991,8
W0000031-1,2021-05-09 14:00,290.8052,8
W0000031-1,2021-05-09 15:00,290.8061,8
W0000031-1,2021-05-09 16:00,290.8043,8
W0000031-1,2021-05-09 17:00,290.8096,8
W0000031-1,2021-05-09 18:00,290.8093,8
W0000031-1,2021-05-09 19:00,290.8078,8
W0000031-1,2021-05-09 20:00,290.8164,8
W0000031-1,2021-05-09 21:00,290.8168,8
W0000031-1,2021-05-09 22:00,290.8148,8
W0000031-1,2021-05-09 23:00,290.8074,8
W0000031-1,2021-05-10 0:00,290.8079,8
W0000031-1,2021-05-10 1:00,290.8082,8
W0000031-1,2021-05-10 2:00,290.8097,8
W0000031-1,2021-05-10 3:00,290.8152,8
W0000031-1,2021-05-10 4:00,290.816,8
W0000031-1,2021-05-10 5:00,290.8097,8
W0000031-1,2021-05-10 6:00,290.8096,8
W0000031-1,2021-05-10 7:00,290.8073,8
W0000031-1,2021-05-10 8:00,290.8081,8
W0000031-1,2021-05-10 9:00,290.81,8
W0000031-1,2021-05-10 10:00,290.8107,8
W0000031-1,2021-05-10 11:00,290.8107,8
W0000031-1,2021-05-10 12:00,290.8049,8
W0000031-1,2021-05-10 13:00,290.8039,8
W0000031-1,2021-05-10 14:00,290.8095,8
W0000031-1,2021-05-10 15:00,290.8056,8
W0000031-1,2021-05-10 16:00,290.8124,8
W0000031-1,2021-05-10 17:00,290.8148,8
W0000031-1,2021-05-10 18:00,290.8086,8
W0000031-1,2021-05-10 19:00,290.8099,8
W0000031-1,2021-05-10 20:00,290.8074,8
W0000031-1,2021-05-10 21:00,290.8073,8
W0000031-1,2021-05-10 22:00,290.8038,8
W0000031-1,2021-05-10 23:00,290.8025,8
W0000031-1,2021-05-11 0:00,290.8028,8
W0000031-1,2021-05-11 1:00,290.8006,8
W0000031-1,2021-05-11 2:00,290.8015,8
W0000031-1,2021-05-11 3:00,290.8027,8
W0000031-1,2021-05-11 4:00,290.8055,8
W0000031-1,2021-05-11 5:00,290.8015,8
W0000031-1,2021-05-11 6:00,290.8086,8
W0000031-1,2021-05-11 7:00,290.8039,8
W0000031-1,2021-05-11 8:00,290.8043,8
W0000031-1,2021-05-11 9:00,290.8034,8
W0000031-1,2021-05-11 10:00,290.8019,8
W0000031-1,2021-05-11 11:00,290.8004,8
W0000031-1,2021-05-11 12:00,290.8002,8
W0000031-1,2021-05-11 13:00,290.8023,8
W0000031-1,2021-05-11 14:00,290.8029,8
W0000031-1,2021-05-11 15:00,290.8052,8
W0000031-1,2021-05-11 16:00,290.8003,8
W0000031-1,2021-05-11 17:00,290.802,8
W0000031-1,2021-05-11 18:00,290.8033,8
W0000031-1,2021-05-11 19:00,290.8027,8
W0000031-1,2021-05-11 20:00,290.8025,8
W0000031-1,2021-05-11 21:00,290.8062,8
W0000031-1,2021-05-11 22:00,290.798,8
W0000031-1,2021-05-11 23:00,290.798,8
W0000031-1,2021-05-12 0:00,290.795,8
W0000031-1,2021-05-12 1:00,290.7918,8
W0000031-1,2021-05-12 2:00,290.7969,8
W0000031-1,2021-05-12 3:00,290.7985,8
W0000031-1,2021-05-12 4:00,290.802,8
W0000031-1,2021-05-12 5:00,290.802,8
W0000031-1,2021-05-12 6:00,290.8036,8
W0000031-1,2021-05-12 7:00,290.8043,8
W0000031-1,2021-05-12 8:00,290.8022,8
W0000031-1,2021-05-12 9:00,290.7979,8
W0000031-1,2021-05-12 10:00,290.7948,8
W0000031-1,2021-05-12 11:00,290.7963,8
W0000031-1,2021-05-12 12:00,290.7932,8
W0000031-1,2021-05-12 13:00,290.7928,8
W0000031-1,2021-05-12 14:00,290.7942,8
W0000031-1,2021-05-12 15:00,290.7941,8
W0000031-1,2021-05-12 16:00,290.794,8
W0000031-1,2021-05-12 17:00,290.7981,8
W0000031-1,2021-05-12 18:00,290.8007,8
W0000031-1,2021-05-12 19:00,290.8003,8
W0000031-1,2021-05-12 20:00,290.7993,8
W0000031-1,2021-05-12 21:00,290.7973,8
W0000031-1,2021-05-12 22:00,290.7968,8
W0000031-1,2021-05-12 23:00,290.7933,8
W0000031-1,2021-05-13 0:00,290.7949,8
W0000031-1,2021-05-13 1:00,290.7936,8
W0000031-1,2021-05-13 2:00,290.791,8
W0000031-1,2021-05-13 3:00,290.7924,8
W0000031-1,2021-05-13 4:00,290.7926,8
W0000031-1,2021-05-13 5:00,290.7925,8
W0000031-1,2021-05-13 6:00,290.7934,8
W0000031-1,2021-05-13 7:00,290.7949,8
W0000031-1,2021-05-13 8:00,290.7926,8
W0000031-1,2021-05-13 9:00,290.7899,8
W0000031-1,2021-05-13 10:00,290.789,8
W0000031-1,2021-05-13 11:00,290.788,8
W0000031-1,2021-05-13 12:00,290.7866,8
W0000031-1,2021-05-13 13:00,290.787,8
W0000031-1,2021-05-13 14:00,290.7888,8
W0000031-1,2021-05-13 15:00,290.7857,8
W0000031-1,2021-05-13 16:00,290.7873,8
W0000031-1,2021-05-13 17:00,290.7912,8
W0000031-1,2021-05-13 18:00,290.7899,8
W0000031-1,2021-05-13 19:00,290.7942,8
W0000031-1,2021-05-13 20:00,290.7938,8
W0000031-1,2021-05-13 21:00,290.7958,8
W0000031-1,2021-05-13 22:00,290.7917,8
W0000031-1,2021-05-13 23:00,290.7894,8
W0000031-1,2021-05-14 0:00,290.7875,8
W0000031-1,2021-05-14 1:00,290.7864,8
W0000031-1,2021-05-14 2:00,290.7847,8
W0000031-1,2021-05-14 3:00,290.7881,8
W0000031-1,2021-05-14 4:00,290.7884,8
W0000031-1,2021-05-14 5:00,290.7878,8
W0000031-1,2021-05-14 6:00,290.7914,8
W0000031-1,2021-05-14 7:00,290.789,8
W0000031-1,2021-05-14 8:00,290.7857,8
W0000031-1,2021-05-14 9:00,290.7826,8
W0000031-1,2021-05-14 10:00,290.7798,8
W0000031-1,2021-05-14 11:00,290.7789,8
W0000031-1,2021-05-14 12:00,290.7775,8
W0000031-1,2021-05-14 13:00,290.7781,8
W0000031-1,2021-05-14 14:00,290.7787,8
W0000031-1,2021-05-14 15:00,290.7802,8
W0000031-1,2021-05-14 16:00,290.7792,8
W0000031-1,2021-05-14 17:00,290.7816,8
W0000031-1,2021-05-14 18:00,290.7807,8
W0000031-1,2021-05-14 19:00,290.7863,8
W0000031-1,2021-05-14 20:00,290.7863,8
W0000031-1,2021-05-14 21:00,290.7877,8
W0000031-1,2021-05-14 22:00,290.7864,8
W0000031-1,2021-05-14 23:00,290.7804,8
W0000031-1,2021-05-15 0:00,290.7815,8
W0000031-1,2021-05-15 1:00,290.7801,8
W0000031-1,2021-05-15 2:00,290.7797,8
W0000031-1,2021-05-15 3:00,290.7814,8
W0000031-1,2021-05-15 4:00,290.7823,8
W0000031-1,2021-05-15 5:00,290.7827,8
W0000031-1,2021-05-15 6:00,290.7817,8
W0000031-1,2021-05-15 7:00,290.7805,8
W0000031-1,2021-05-15 8:00,290.7787,8
W0000031-1,2021-05-15 9:00,290.778,8
W0000031-1,2021-05-15 10:00,290.777,8
W0000031-1,2021-05-15 11:00,290.7738,8
W0000031-1,2021-05-15 12:00,290.7731,8
W0000031-1,2021-05-15 13:00,290.7718,8
W0000031-1,2021-05-15 14:00,290.7743,8
W0000031-1,2021-05-15 15:00,290.7748,8
W0000031-1,2021-05-15 16:00,290.7765,8
W0000031-1,2021-05-15 17:00,290.779,8
W0000031-1,2021-05-15 18:00,290.7758,8
W0000031-1,2021-05-15 19:00,290.7742,8
W0000031-1,2021-05-15 20:00,290.7782,8
W0000031-1,2021-05-15 21:00,290.7774,8
W0000031-1,2021-05-15 22:00,290.778,8
W0000031-1,2021-05-15 23:00,290.7753,8
W0000031-1,2021-05-16 0:00,290.7746,8
W0000031-1,2021-05-16 1:00,290.7737,8
W0000031-1,2021-05-16 2:00,290.7721,8
W0000031-1,2021-05-16 3:00,290.7749,8
W0000031-1,2021-05-16 4:00,290.7755,8
W0000031-1,2021-05-16 5:00,290.7749,8
W0000031-1,2021-05-16 6:00,290.7772,8
W0000031-1,2021-05-16 7:00,290.7745,8
W0000031-1,2021-05-16 8:00,290.7721,8
W0000031-1,2021-05-16 9:00,290.7729,8
W0000031-1,2021-05-16 10:00,290.7699,8
W0000031-1,2021-05-16 11:00,290.7695,8
W0000031-1,2021-05-16 12:00,290.7678,8
W0000031-1,2021-05-16 13:00,290.7665,8
W0000031-1,2021-05-16 14:00,290.7673,8
W0000031-1,2021-05-16 15:00,290.7648,8
W0000031-1,2021-05-16 16:00,290.7677,8
W0000031-1,2021-05-16 17:00,290.7691,8
W0000031-1,2021-05-16 18:00,290.7663,8
W0000031-1,2021-05-16 19:00,290.7666,8
W0000031-1,2021-05-16 20:00,290.768,8
W0000031-1,2021-05-16 21:00,290.7725,8
W0000031-1,2021-05-16 22:00,290.7711,8
W0000031-1,2021-05-16 23:00,290.7697,8
W0000031-1,2021-05-17 0:00,290.7662,8
W0000031-1,2021-05-17 1:00,290.7662,8
W0000031-1,2021-05-17 2:00,290.7658,8
W0000031-1,2021-05-17 3:00,290.7673,8
W0000031-1,2021-05-17 4:00,290.7663,8
W0000031-1,2021-05-17 5:00,290.7662,8
W0000031-1,2021-05-17 6:00,290.7646,8
W0000031-1,2021-05-17 7:00,290.7651,8
W0000031-1,2021-05-17 8:00,290.7643,8
W0000031-1,2021-05-17 9:00,290.7627,8
W0000031-1,2021-05-17 10:00,290.7626,8
W0000031-1,2021-05-17 11:00,290.7599,8
W0000031-1,2021-05-17 12:00,290.7586,8
W0000031-1,2021-05-17 13:00,290.7578,8
W0000031-1,2021-05-17 14:00,290.7602,8
W0000031-1,2021-05-17 15:00,290.7582,8
W0000031-1,2021-05-17 16:00,290.7584,8
W0000031-1,2021-05-17 17:00,290.7589,8
W0000031-1,2021-05-17 18:00,290.7592,8
W0000031-1,2021-05-17 19:00,290.7636,8
W0000031-1,2021-05-17 20:00,290.7614,8
W0000031-1,2021-05-17 21:00,290.7639,8
W0000031-1,2021-05-17 22:00,290.7619,8
W0000031-1,2021-05-17 23:00,290.7612,8
W0000031-1,2021-05-18 0:00,290.7589,8
W0000031-1,2021-05-18 1:00,290.7558,8
W0000031-1,2021-05-18 2:00,290.7605,8
W0000031-1,2021-05-18 3:00,290.7599,8
W0000031-1,2021-05-18 4:00,290.7598,8
W0000031-1,2021-05-18 5:00,290.7596,8
W0000031-1,2021-05-18 6:00,290.7608,8
W0000031-1,2021-05-18 7:00,290.7608,8
W0000031-1,2021-05-18 8:00,290.755,8
W0000031-1,2021-05-18 9:00,290.7545,8
W0000031-1,2021-05-18 10:00,290.7501,8
W0000031-1,2021-05-18 11:00,290.7492,8
W0000031-1,2021-05-18 12:00,290.7496,8
W0000031-1,2021-05-18 13:00,290.7501,8
W0000031-1,2021-05-18 14:00,290.7485,8
W0000031-1,2021-05-18 15:00,290.7477,8
W0000031-1,2021-05-18 16:00,290.7462,8
W0000031-1,2021-05-18 17:00,290.7509,8
W0000031-1,2021-05-18 18:00,290.7506,8
W0000031-1,2021-05-18 19:00,290.752,8
W0000031-1,2021-05-18 20:00,290.755,8
W0000031-1,2021-05-18 21:00,290.7572,8
W0000031-1,2021-05-18 22:00,290.7564,8
W0000031-1,2021-05-18 23:00,290.7505,8
W0000031-1,2021-05-19 0:00,290.7496,8
W0000031-1,2021-05-19 1:00,290.7505,8
W0000031-1,2021-05-19 2:00,290.7479,8
W0000031-1,2021-05-19 3:00,290.751,8
W0000031-1,2021-05-19 4:00,290.7518,8
W0000031-1,2021-05-19 5:00,290.7489,8
W0000031-1,2021-05-19 6:00,290.7503,8
